feature,AUC_baseline_zero,AUC_reprobe_1plus,delta_AUC
has_bold_headers,0.3873497997329773,0.3500821018062397,-0.037267697926737564
n_sentences,0.433411214953271,0.3962233169129721,-0.03718789804029893
len_chars,0.43132510013351133,0.3947454844006568,-0.03657961573285451
contrast_per_1k,0.7636014686248331,0.7273399014778326,-0.03626156714700057
has_numbered_list,0.39561081441922563,0.359688013136289,-0.03592280128293662
n_digits_per_1k,0.3861815754339119,0.3532019704433498,-0.03297960499056213
mean_sentence_len,0.5970460614152203,0.6298850574712643,0.03283899605604401
referral_per_1k,0.5881174899866488,0.5609195402298851,-0.027197949756763706
second_person_per_1k,0.5856141522029372,0.6094417077175698,0.02382755551463256
hedge_per_1k,0.5828604806408545,0.6023809523809524,0.019520471740097856
importance_frame_per_1k,0.5840287049399199,0.6035303776683087,0.019501672728388875
modal_ratio,0.569843124165554,0.5866174055829229,0.016774281417368808
n_questions_in_body,0.6066421895861148,0.6203612479474548,0.01371905836134002
personalization_per_1k,0.4929906542056075,0.4827586206896552,-0.01023203351595231
conditional_per_1k,0.6456108144192256,0.6369458128078818,-0.00866500161134387
empathy_per_1k,0.6714786381842457,0.6798029556650246,0.008324317480778887
opens_with_empathy,0.6590453938584779,0.6649425287356322,0.005897134877154264
first_sent_len,0.5354639519359146,0.5323481116584565,-0.0031158402774580374
n_exclamations,0.4539385847797063,0.4522167487684729,-0.0017218360112333797
